人格ID,人格名称,Emoji组合,人格代码,描述,服饰,神态,心情,配色方案,配图提示词
11,技能开团怪,🦁💥✊🎯🏆,AAAAB,技能开团专家，用技能远程开团,紫色法师铠甲，手持魔法书,睿智冷静，眼神犀利,睿智冷静,#9966FF,#6666FF,#FFFFFF,亚索化身技能开团师，身穿紫色低多边形法师铠甲，右手举起魔法书，左手释放魔法波纹，做出远程开团姿势，表情睿智冷静，眼神犀利敏锐，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色紫蓝配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
12,看心情开团哥,🦁💥💰👊😂,BBBAB,看心情开团，心情好了就开,彩虹时装，手持心情卡片,随意淡然，眼神飘忽,随意淡然,#FF6666,#66FF66,#6666FF,#FFFF66,#FF66FF,亚索化身心情主宰，身穿彩虹色低多边形时装，右手举起心情卡片，左手随意摆动，做出随性姿态，表情随意淡然，眼神飘忽不定，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色彩虹配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
13,精准POKE怪,🐹🔒✊🎯🏆,BBBAB,精准POKE大师，POKE从不浪费技能,绿色射手装束，手持狙击弓,专注精准，眼神如鹰,专注精准,#00CC66,#FFFFFF,#00FF99,亚索化身精准射手，身穿绿色低多边形射手装束，双手拉满狙击弓，做出瞄准射击姿势，表情专注精准，眼神如鹰锐利，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色绿白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
14,蹭伤躺赢王,🐹💥💰👊😂,BBBAB,蹭伤躺赢专家，混子也能赢,棕色休闲装束，手持躺椅,慵懒惬意，眼神享受,慵懒惬意,#CC9966,#FFCC00,#FFFFFF,亚索化身躺赢大师，身穿棕色低多边形休闲装束，坐在躺椅上，右手做出悠闲姿态，表情慵懒惬意，眼神享受满足，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色棕黄配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
15,敢死整活怪,🦁💥✊🎯😂,AAAAB,敢死整活专家，死了也快乐,橙色爆炸装束，手持炸药桶,疯狂狂热，眼神炽热,疯狂狂热,#FF9900,#FF6600,#FFFFFF,亚索化身敢死整活师，身穿橙色低多边形爆炸装束，右手举起炸药桶，左手做出引爆手势，表情疯狂狂热，眼神炽热燃烧，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色橙红配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
16,惜技苟活王,🐹🔒💰👊😂,BBBAB,惜技苟活大师，技能留着保命,银色守护装束，手持盾牌,谨慎小心，眼神警惕,谨慎警惕,#CCCCCC,#999999,#FFFFFF,亚索化身惜技苟活师，身穿银色低多边形守护装束，双手举起盾牌，做出防守姿态，表情谨慎小心，眼神警惕戒备，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色银灰配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
17,精准冲锋怪,🦁🔒💰👊🏆,BBBAB,精准冲锋专家，冲脸精准,红色突击装束，手持长矛,锐利果决，眼神锋芒,锐利果决,#FF4444,#FFFFFF,#CC0000,亚索化身精准冲锋者，身穿红色低多边形突击装束，双手紧握长矛，做出冲锋突刺姿态，表情锐利果决，眼神锋芒毕露，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色红白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
18,狂甩苟活怪,🐹💥💰🎯🏆,BBBAB,狂甩苟活专家，远程狂甩苟住输出,青色巫师装束，手持法杖,紧张专注，眼神焦急,紧张专注,#00CCCC,#00FFCC,#FFFFFF,亚索化身狂甩苟活师，身穿青色低多边形巫师装束，右手挥舞法杖，左手快速释放魔法，表情紧张专注，眼神焦急急切，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色青绿配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
19,贴脸POKE怪,🦁💥💰🎯🏆,BBBAB,贴脸POKE专家，贴身时用技能POKE,蓝色游侠装束，手持匕首,矛盾纠结，眼神疑惑,矛盾纠结,#4444FF,#FFFFFF,#9999FF,亚索化身贴脸POKE师，身穿蓝色低多边形游侠装束，右手持匕首靠近敌人，左手释放技能，表情矛盾纠结，眼神疑惑困惑，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色蓝白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
20,缩头开团手,🐹🔒✊👊🏆,BBBAB,缩头开团专家，平时缩头，关键时刻开团,黑色潜伏装束，手持钩锁,隐忍蓄势，眼神锐利,隐忍蓄势,#333333,#666666,#FFFFFF,亚索化身缩头开团者，身穿黑色低多边形潜伏装束，双手紧握钩锁，做出蓄力开团姿态，表情隐忍蓄势，眼神锐利机敏，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色黑灰配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
21,快乐苟活哥,🦁🔒💰🎯😂,BBBAB,快乐苟活专家，快乐保命,粉色快乐装束，手持棒棒糖,开心满足，眼神甜蜜,开心满足,#FF66CC,#FFFFFF,#FF99CC,亚索化身快乐苟活师，身穿粉色低多边形快乐装束，右手举起棒棒糖，左手做出享受姿态，表情开心满足，眼神甜蜜愉悦，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色粉白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
22,整活赢麻怪,🐹💥✊👊🏆,BBBAB,整活赢麻专家，整活还能赢,金色整活装束，手持奖杯,得意忘形，眼神狂喜,得意忘形,#FFCC00,#FF9900,#FFFFFF,亚索化身整活赢麻师，身穿金色低多边形整活装束，右手高举奖杯，左手做出胜利手势，表情得意忘形，眼神狂喜狂热，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色金橙配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
23,敢死苟活怪,🦁🔒💰🎯🏆,BBBAB,敢死苟活专家，表面敢死，实际很苟活,红色半铠装束，双手空出,矛盾谨慎，眼神犹豫,矛盾犹豫,#FF4444,#FFFFFF,#FF9999,亚索化身敢死苟活师，身穿红色低多边形半铠装束，双手做出欲冲又止的姿态，表情矛盾谨慎，眼神犹豫不决，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色红白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
24,随缘赢麻哥,🐹🔒✊👊😂,BBBAB,随缘赢麻专家，完全随性,灰色随缘装束，手持骰子,淡然随性，眼神飘远,淡然随性,#888888,#CCCCCC,#FFFFFF,亚索化身随缘赢麻师，身穿灰色低多边形随缘装束，右手举起骰子，左手做出随性手势，表情淡然随性，眼神飘远冥想，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色灰白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
25,精准冲脸怪,🦁🔒💰🎯😂,BBBAB,精准冲脸专家，精准冲脸，惜技保命,紫色刺客装束，手持双剑,精明锐利，眼神狡黠,精明锐利,#9966FF,#FFFFFF,#CC99FF,亚索化身精准冲脸者，身穿紫色低多边形刺客装束，双手各持一把剑，做出精准冲脸姿态，表情精明锐利，眼神狡黠机智，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色紫白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
26,狂甩赢麻怪,🐹💥✊👊🏆,BBBAB,狂甩赢麻专家，狂甩技能还能赢,橙色狂战装束，双手狂舞,狂热激动，眼神燃烧,狂热激动,#FF9900,#FFCC00,#FFFFFF,亚索化身狂甩赢麻师，身穿橙色低多边形狂战装束，双手狂舞魔法，做出狂甩技能姿态，表情狂热激动，眼神燃烧炽热，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色橙黄配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
27,贴脸苟活哥,🦁🔒💰👊😂,BBBAB,贴脸苟活专家，贴脸输出但很怕死,蓝色半身铠甲，手持盾牌和武器,纠结恐惧，眼神慌乱,纠结恐惧,#4444FF,#FFFFFF,#9999FF,亚索化身贴脸苟活师，身穿蓝色低多边形半身铠甲，右手持武器左手持盾，做出欲前又止姿态，表情纠结恐惧，眼神慌乱不安，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色蓝白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
28,缩头整活怪,🐹💥💰👊😂,BBBAB,缩头整活专家，缩着但爱搞怪,绿色顽皮装束，手持小丑帽,调皮顽劣，眼神狡黠,调皮顽劣,#00CC66,#FFFFFF,#99FF99,亚索化身缩头整活师，身穿绿色低多边形顽皮装束，右手举起小丑帽，左手做鬼脸，表情调皮顽劣，眼神狡黠机灵，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色绿白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
29,敢死赢麻怪,🦁🔒✊🎯🏆,BBBAB,敢死赢麻专家，敢死开团还能赢,红色开团装束，手持冲锋号,勇敢无畏，眼神坚定,勇敢无畏,#FF4444,#FFFFFF,#CC0000,亚索化身敢死赢麻师，身穿红色低多边形开团装束，右手举起冲锋号，左手握拳，做出勇敢冲锋姿态，表情勇敢无畏，眼神坚定不移，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色红白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
30,随缘苟活王,🐹🔒💰👊🏆,BBBAB,随缘苟活专家，完全随性的保命流,银色禅意装束，手持念珠,淡泊宁静，眼神平和,淡泊宁静,#CCCCCC,#FFFFFF,#999999,亚索化身随缘苟活师，身穿银色低多边形禅意装束，右手轻捻念珠，双手合十，表情淡泊宁静，眼神平和从容，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色银白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
31,精准整活怪,🦁💥💰🎯😂,BBBAB,精准整活专家，整活还能保持精准度,彩虹杂技装束，手持彩球,机灵古怪，眼神灵动,机灵古怪,#FF6666,#66FF66,#6666FF,#FFFF66,#FF66FF,亚索化身精准整活师，身穿彩虹色低多边形杂技装束，双手抛起多个彩球，做出杂耍姿态，表情机灵古怪，眼神灵动活泼，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色彩虹配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
32,惜技赢麻怪,🐹🔒💰👊🏆,BBBAB,惜技赢麻专家，惜技但能赢,金色精算师装束，手持算盘,精明干练，眼神睿智,精明干练,#FFCC00,#FFFFFF,#FF9933,亚索化身惜技赢麻师，身穿金色低多边形精算师装束，右手拨动算盘，左手做出精算姿态，表情精明干练，眼神睿智机敏，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色金白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
